doc_id	text_data	class_type
IL5_SN_000370_20160727_G0T0008M4	??? ????? ???????? ???? ??? ????? ????? ???? ???  ?????? ??? ??????? ??? ???? ???? ????  ??? ?? ??? ???? ????	nondomain
IL5_SN_000370_20160624_H0T00581E	???? ?? ??   ??????? ???? – ???????	unk
IL5_SN_000370_20151210_G0T000AC3	?? ??? ???? ????? ???? ???? ????? ?? ??????? ???????????? ?????? ??? ????? ???? ??? ????? ???? ???	eval_incident
IL5_SN_000370_20170412_H0T0068J6	RT @EthioLiberty ???? ??? ??? ????? ??? ????? ??? ??? ?? ??? ????? ????? ???? ????? ??????? ?	unk
IL5_SN_000370_20160617_G0T0008XV	19 ???????? ?? ?? ????? ???? ?? ?????? ??? ???? ?????  19 ???????? ?? ?? ????? ???? ?? ?????? ??? ???? ??????	nondomain
IL5_WL_020506_20150509_H0040MERL	????? ???? ????? ??? ?? ??? ???? ????? ???? ???? ????? ????? ??? ???? ??? ???? ?????? ?? ??? ???? ? ????? ???? ?????? ????? ???? ????? ???? ??? ???? ????? ?????? ?? ???? ????? ?? ?? ??? ???? ????? ?? ??? ??? ???? ????? ??? ?????? ???? ??? ?? ?? ?? ????? ???? ??? ??? ?? ??? ?????? ??? ???? ?? ??? ?? ?? ???? ???? ??????? ?????? ?? ??? ???? ? ????? ?? ?? ??? ?? ???? ?????? ?????? ??? ???? ?????? ?? ??? ????? ????? ??? ???? ???? ?? ??? ?? ????? ???? ???? ????? ???? ???? ??? ?? ???? ?????? ??? ??? ?????? ??? ?????? ??????? ???? ????? ?? ?? ????? ???? ?	unk
IL5_SN_000370_20161223_H0T0067WM	????? ???? ?????? ??????? ?? ??? ??? ???? ??? ??? ?  You can run  but you cant hide  they say in English	unk
IL5_WL_020506_20150812_H0040MEIF	?? ????? ?? ??? ?? ??? ????? ??? ???? ?? ???? ??? ?27 ??? 2007 ?? ???? ??? ?? ??? ????? ???? ????? ? ????? ?? ???? ?? ??? ????? ??? ????? ?? ?????? ?? ????? ?? ????? ??? ??? ???? ?? ?????? ?? ??? ???? ?? ??? ?? 8 ? ????? ??? ??? ?????? ???? ??? ??? ?? ????? ??? ?? ??? ??? ???? ??? ???? ???? ?? ??? ????? ???? ???? ??? ??? ??? ??? ??? ?????? ??? ??? ???? ????? ???????? ????? ?? ??? ??? ???? ???? ? ??? ??? ???? ????? ???? ???? ?? ????? ????? ?????? ??? ?? ?????? ?????? ??? ??? ???? ?? ?? ????? ?? ???? ??? ???? ?	unk
IL5_SN_000370_20161027_H0T0067NV	???? ???? ?? ????? ????? ??? ?????? ??? ?????? ????? ???’? ??? ????? ??? ???? ?????  ???? ?? ????? ???? ?? ?	unk
IL5_SN_000370_20160104_G0T000A57	???? ? ?? ????? ???? ????? ?? ??? ???? ???  #Ethiopia #USA #Eritrea #VOA	nondomain
IL5_SN_000370_20161108_H0T0067QL	???? ?????? ??????? ??? ???? ?? ????? ?? ???? ???? ?????  #Eritrea #Ethiopia #VOATigrigna	unk
IL5_SN_000370_20170304_H0T0068A6	RT @SimretZeru @ EsayasIsaak  Regim anhängarnas bild av #Eritrea #förnekar som oftast situationen i landet  Allt är bra enligt dem  http	unk
IL5_SN_000370_20170107_H0T0067Z1	???? ?? ???? ??? ???? ?????  ??? ??? ??? ??? ???? ??? ????  2017 ? ???? ??? ??? ??????	unk
IL5_SN_000370_20170213_H0T00370J	???? ?? ??? ???? ?? ?? ???? ???? ??? #Ethiopia  via @Ethiopian News Network  Newset	unk
IL5_SN_000370_20160926_H0T0067IL	????? ??? ????? ??? ????? ??? ???? ??? ?????? ???? ? ????? ??? ????? ???? ????? ????? ?????? ? ????? ??? ???? ?	unk
IL5_RF_020497_20151110_H0040MDG3	??? 4 – ????? ??? ?? ??? ? ???? ? ?????? ?? ?? ???? ??? ???? ???? ?????’? ? ????? ?? ???? ? ????? ???? ??? ????? ?????? ? ???????? ?? ??? ?????? ??? ??? ? ?? ???? ?? ?? ???? ????’??????? ? ????? ?????? ?? ?? ???? ?????? ?? ?????? ??????? ??? ???? ?? ???? ?????’? ? ??? ??? ??? ??? ???’? ??????? ?? ???? ???? ???? ?????? ????? ????? ???? ????? ??? ? ????? ??? ???? ????? ??? ??? ??? ??????’? ? ??? ?? ?? ????? ??? ??? ?????? ??? ??? ? ?? ???? ?? ????? ?? ????? ?????’? ? ????? ?? ???? ?? ??? ?? ??? ???? ????? ????? ?? ??? ?? ??? ???? ? ????? ?? ???? ???? ?????? ??? ??? ???? ?????’? ? ?? ???? ??? ????? ?? ??? ?? ???? ??? ???? ? ??? ?????? ????? ???? ?????? ???? ?? ???? ?????’? ? ??? ????? ??? ???? ??? ? ??????? ??? ??? ????? ??? ??? ???? ?????? ??? ?	unk
IL5_SN_000370_20160620_G0T000ANN	??? ????? ????? ?????? ?????? ?????? 20 ?? ??? ????? ???????? ?? ?? ??? ???????? 365 ????? ???????? ????? ?????	nondomain
IL5_WL_020083_20160706_G0040IS0H	?? ???? ???? ???? ???? ?????  ???? ?????? ?????? ??????? ??’?? ?????? ??????? ????? ? ????? ???? ? ???? ????? ???? ????? ???? ????? ??? ? ???? ?????? ?????? ?????? ?????? ???? ????? ? ???? ?? ??? ???? ???? ???? ????? ???? ?? ????? ?? ???? ??? ????? ?? ????? ?? ??? ?????’? ? ?? ?? ??? ???? ????? ???? ????? ??? ? ?? ?? ??? ???’? ?	unk
IL5_SN_000370_20170208_H0T0036VH	#Eritrea #?????? ??? ? ?? ??? ??? ??? ??? ?????? ???? ????  # 4829#4704#4829#4627  # 4779#4709  # 4613	indomain
IL5_SN_000370_20160609_H0T0057Z3	???  ????   ??? ??Dallas Texas USA	unk
IL5_SN_000370_20160119_G0T000A0O	?? ?? ??? ?????? ? ?? ??? ???? ??? ???? ????? ??? ?????  ??? ?????? ?? UNHCR  ?? ??? 2015 ??? ??????? ??????	nondomain
IL5_SN_000370_20170213_H0T00370X	??? ?? ??? ????? ??? ???? ???? ???? ???? ???? ???? ??? ???? ??? ??? ???? ??? ?? ?????? ?? ???? ???? ?? ?? ???? ??	nondomain
IL5_SN_000370_20170522_H0T00696Z	???? ??? ????? ??? ??? ?? ?????? ?? ??? ??? ???? ???? ??? ??? ??? ??? ?? 44940 ???? ????? ???? ???? ?? ???	unk
IL5_SN_000370_20160727_G0T0008MN	??? ????? ???? ??? ????? ???? ??? ?????  ??? ????? ???? ????? ???? ??? ????? ???? ?? ???? ??? ????? ????? ? ?	nondomain
IL5_SN_000370_20161011_H0T00365W	???? ??? ???  ???? ??? ??? ???? ??? ???? ????? ???? ?? ??? ??? ?????? ??  ??????? ?? ??? ????? ????? ???? ????	unk
IL5_NW_020060_20150908_G0040EYJH	UCI ???? ?????? ????? ???? ???? ????? ??? ??? ’ ? ?? ??? ????? ???  ???? ????? ???? ? ?? 2015 UCI ???? ?????? ????? ???? ???? ????? ??? ??? ’ ? ?? ??? ????? ???  ?? ?? ????? ???? ? ? ??? ???? ?? ??? 70 ???? ????? ??? 1000 ?????? ???? ?? ? Paul Shanks ??? ?????? ??? ?????? ?????? ??? ?? 19 ??27 ??? ??? ’ ? ? 9 ????? ???? ???? 450000 ???? ??? ???? ?? ??? ? ???? ??? ???? ??? ???? ????? ???? ??? ????? ? UCIRichmond3 ?? Paul Shanks ????? ?????? ??? ???? ???? ? UCI ???? ?????? ????? ???? ???? ????? ?? ??? ?????  535  535 ? 0000  535 ? ???? 128 kbps 32 kbps ???? ???	unk
IL5_NW_020079_20160531_G0040IC13	?? ???? ???? ?????  “ Any man who is not a socialist at age twenty has no heart  Any man who is still socialist at age forty has no head ” ???’? Churchill  Clemenceau  Lloyd George  2  69  ??? ?? ???? ? “ ???? ???? ??????? ?????? ????? ??’??? ? ?? ??? ??’?? ??? ?? ???? ?? ????’??? ” ??? ? ?? ?? ??? ?? ?? ???? ????? ?????? ??’? ??? ??? ???? ???? ????? ????? ???? ???? ? ?? ???? ????? ? ?? ????? ??? ???’? ?????? ????’? ? ??? ?????? ???? ????? ????’? ?? ?? ??? ????? ??? ?? ?????????? ? ???? ??? ?? ????? ??? ?? ?? ??? ???? ????? ??? ?? ????? ? ???’?? ?? ??? ??? ??? ?? ??? ?????? ?????? ????? ?????? ??’? ??? ??? ????? ???? ??? ??? ??? ??????? ????’?? ???? ???? ???? ???? ???? ??’?????? ??? ??? ? ?? ?? ??? ??’??? ??? ??? ???? ?? ????? ?? ???? ?? ???? ???? ????  ability to keep learning all the time  ??? ??? ????? ? ?? ????? ?? ??? ??? ???? ???? ?? ??? ????? ?????? ?? ????? ??? ? ??? ?1941 ??  ??? ???? ??? ?? ???? ?? ??? ???????? ? 65000 ???? ??? ???? ?? ???? 25 ???? ????? ????? ? ???? ???? ?????? ?????? ???? ????? ? ?? ???? ???? ????? ???? ???? ??????? ????? ??? ????? ?? ???? ?????? ??? ?????? ????? ? ?  ?? ???? ?? ???????’??? ?????? ??? ??????? ???’? ???? ????? ????? ??’?? ???? ???? ????? ? ????? ???? ? ????? ???? ????? ?? ???? ????? ???? ????? ?? ????? ???? ? ???????? ??? ??? ??? ??? ????’?? ?? ??? ???? ??? ?????’? ?? ????’? ?? ??? ? ??? ??? ??’? ???  ?? ?? ????? ?? 30 ???? ???? ??? ???? ????’? ?? ????? ???? ???? ??? ???? ?? ??????? ?? ???? ??? ???? ???? ?????? ?? ???? ???? ???? ???? ?? ????? ? ?’?? ??  ?? ??’? ?????? ??’? ???? ???? ? ????? ????? ??’? ??? ???? ???? ???? ???? ????? ? ?? ???? ????? ? Chechnya’s leader  Ramzan Kadyrov  discussing the preservation of Chechen tradition with a circle of ministers “ A people who have lost their national dances  rhythm and music cease to be a nation ” he explained   5  74  “ Hardly a day passes in Grozny without a dance performance by a local troupe or an athletic competition featuring Chechen sportsman ”  5  78  ?? ??? ???? ?????? ?????? ????? ???? ???? ??? ????? ???? ????? ? ??? ??? ?? “ ?1941 ??? ???? ??? ?? ??? ???????? ” ???? ????? ???? ???? ???? ??? ????? ???? ?????? ? ????’? ??? ???? ? ?? ?1941 ?? ???? ??? ?????? ??? ? ?? ?? ???? ??? ???? ???????? ????? ?? ?? ???? ?? ??? ?? ??? ?????? ???? ?? ???? ???? ???? ? ??????? ????? ?????’? ??? ??  ?? ?????? ????  ?? ??? ???? ??’?????? ?????? ??????’? ??? ???? ???? ????? ???? ??? ? ??? ??????? ? ?? ???? ?? ??? ????????? ? ?1941 ?? ???? ??? ?????? ??’? ? ??? ?? ??? ???? ??? ????? ????? ?????? ????? ? ?? ?? ????? ????? ?? ??? ?? ??? ? ?? ??? ????? ???? ??? ??? ? ???’?? ?? ??? ???? ???? ????? ??? ????? ???????? ??? ? ?? ???? ???? ???? ??’? ????? ????? ????? ? ??? ?? ???? ?? ?? ??? ?? ???? ??????? ??’? ??? ???? ??????? ? ????? ? ???? ???? ?? ???? ???’? ?? ???? ?? ???? ??? ???? ?? ???’?? ???? ???????’? ? ?? ?? ?? ?1941 ?????? ??? ????? ????? ??? ???? 65000 ??? ???? ??????? ??????? ??? ????? ???? ??? ?? ? ???? ???? ???? ??’? ????? ? ??? ????? ? ????? ?? ?? ??? ?? ???? ??????? ??? ?? ??? ??? ???? ????? ???? ???? ????? ? ?? ?? 65000 ????? ???? ?????’? ??’? ?? ??? ?? ???? ?? ???? ????? ??? ???? ???? ?? ???? ??? ?????? ???? ??? ?? ??? ???? ????? ? ????? ???? ??? ?? ??????? ????? ?? ?????’? ???? ?? ? ?? ??’? ?????? ??? ???? ???? ???? ? ????’?? ?? ???? ????’? ????? “ ?????? ??????? ?? ??? ???? ???????? ” ??? ??? ???? ? ??’? ?? ?? ??? ???? ????? ??? ????? ?? ???? ??? ???? ???? ??????? ? ???????? ?????? ? ????? ???? ???? ??? ?????? ?? ?????? ??????? ?? ????? ?????? ?? ??? ??? ????? ???? ?????? ??? ????? ? ???? ?????? ??? ?? ?????’? ?? ? ???? ???? ? ???? ?? ??? ???? ???????? ?? ?? ????? ???  freedom intoxication  ??’? ???? ????? ???? ??? ???? ?? ??? ??? ???? ??? ??? ? “ Houthi fighters head to battle carrying charms  such as keys and visas to paradise ”  1  52  ?? ??? ???? ?? ?? ?? ???? ? ????? ??’? ?? ??? ???? ??????? ??? ???? ?? ????? ??? ?? ?? ??? ??? ? ????? ?????? ???? ?? ?? ???? ????????? ??? ??? ??? ?? ??? ??? ??? ???’? ??? ???? ???? ????? ???? ?? ?????? ?????? ???? ? ??? ?????? ???? ????? ??? ????  ??? ???? ?? ??? ? ???? ???? ???? ??????? ?????? ? ?? ??? ???? ?? ?? ?? ???? ? ?? ?????? ????’? ?? ???? ??? ???’?? ?? ??? ???? ?????’??? ? ?? ?? ????? ??? ??? ???? ????? “ ?????? ??????? ?? ??? ???? ???????? ” ??? ?? ????? ??? ?????? ? ??? ??????? ?? ???? ? ???’? ???? ???? ?? ???? ?????? ??? ????? ? “ At 2pm in the tiny African state of Djibouti everything stops  As the sun burns high in the sky people retreat to their homes  save for a few men lying in the shade of colonialera walkways  chewing qat leaves that bring on a hazy high   Yet its quite stability within the volatile Horn of Africa has made the country of just 875000 people a hub for the world’s super powers   3  49  ???? ???? ???? ???? ???? ??? ??????? ? ????? ??’?????? ?? ????? ???? ?? ????? ? “ ?? ????? ???? ??? ???? ?? ???? ???? ???? ??? ?? ???? ” ???? ???? ???? ????? ??????? ??’? ??????? ??? ???? ??? ??? ???? ??? ??????? ?? ????? ?? ??? ????? ?????’? ??? ???? ?????? ? ???? ???? ???? “ ????? ???’? ” ?? ???? ? ??? ??’? ?? ??? ????? ?????? ?? ??? ???????? ?? ???? ??? ? ??’?? ??? ??? ????? ???’? ?? ?????? ??’? ??? ??? ???? ????? ??? ???? ???? ?? ????? ?? ???? ??????? ??? ????? ? “ It is not the wisest nor the strongest species that survive but the ones most responsive to change ” Charles Darwin ???? ??? ???  ??? ?????? ??? ???? ???? ????? ??????’? ???? ??? ??? ???? ????? ?????? ???? ???? ??????? ?????? ? ?? ?? ???? ???? ???? ??? ?? ???? ???? ?? ??? ??? ?? ?? ????? “ ???? ??? ????? ??? ??? ” ??? ?? ???? ?? ?? ??? ?? ?? ?? ??? ?? ???? ????? ? ??? ??? ?? ??? ?? ???? ??? ??? ???? ?? ????? ? ??? ???? ??? ?? ?????????? ???? ???? ? ??’? ??’? ???? ??’? ?? ????? ????? ??? ?? ??? ???? ??? ??? ? ??? ??? ???? “ ???? ????? ? ???? ????’? ” ??? ???’?? ???? ? ?? ??? ?????  ??? ????? ???? ????? ???? ? ????? ???? ???? ??? ? ??? ???? ?? ?? ?? ??? ?? ?? ???? ???? ????? ??? ? ?????? ? ??????  ??? ????? ?????’? ? ????? ????? ??????? ????? ???? ?? ??? ???? ??? ???????? ? ???? ????? ? ????? ???? ? ?????? ????? ? ????? ?????? ? ???? ?????? ? ??? ????? ? ????? ??? ???? ???? ??? ??? ??? ????? ???????? ??? ???? ?????’?? ??????? ?????? ??? ???? ? ?? ??? ????? ?????? ??? ?? ???? ???? ????? ???’?? ????? ? ???’?? ??? ?????? ???  ????? ???? ????  ???? ?? ??????’? ??? ? ????? ?? ??? ????? ???? ??? ?? ???? ????? ????? ????’? ?? ? ????? ?? ?? ???? ?? ?? ???? ? ???? ??? ?? ???????? ? ????? ??? ????? ?? ??? ???? ?? ??? ???? ?? ??? ? ?? ?? ??????? ??? ???? ???? ???? ?? ???? ???’?? ?? ? ???? ??? ??’? ???? ?? ??? ???? ??? ????’? ? ??’? ?? ??’?? ????? ???? ???? ???? ???? ?????? ???? ????? ???? ???? ????? ?? ???  ????? ???? ????  ????? ??? ????? ? ????? ?’???? ?? ??? ???? ??? ???? ?? ?? ??? ????’? ??? ???? ??????? ? ???? ????? ? ?? ???? ? ??? ??????? ? ??? ????? ???? ???? ???’?’? ????? ? ?? ?? ?? ??? ???? ????? ??? ?????????? ??????’? ? ???’? ?? ???? ???? ???? ???? ???? ?? ???? ???? ??? ????? ? ???? ?? ??? ????? ???? ????? ?? ??? ??? ???? ? ????? ?? ????? ???? ?? ??? ?? 15 ?? ??? ?? ????? ????? ?????? ?????? ?? ??’? ?? ??? ?? ???’? ??? ????? ? ??? ???? ??? ??? ?? ????? ?????? ?? ??? ? ??’? ???? ???? ?????? ???? ??????? ????? ?? ??? ???????? ?? ?? ??? ???? ?????? ??? ????? ? ?? ??? ???? ???? ???? ?????’? ? ?? ???? ? ?? ??’? ??? ???? ?? ??? ???? ?????? ????? ???? ?????? ????? ???? ???? ????’? ? ??? ???? ???? ?? ???? ???? ?????? ?? ??? ?? ???? ????? ????? ??????? ?? ???? ????? ???? ???? ? ????? ?? ??? ?? ?? ???? ??? ??? ???? ? ?? ??’?’? ? ?? ????? ? ????? ? ????? ? ?? ???? ? ????? ????? ??? ??????? ????? ???? ???? ???? ???? ? ??? ??????? ?? ?? ???? ????? ????? 100 ??? ????? ?????? ?? ?’??? ???? ? ??? ????? ? ??? ?? ??? ??? ?? ?? ?? ??? ???? ????? ???????? ? ???’? ?????? ??? ???? ????? ???? ???? ??? ???? ?????? ?? ?? ??? ????’?? ??’??? ???’??? ??? ? ??? ??? ???? ????? ?? ???? ????? ?? ????? ???? ???? ???? ? ???? ????? ???? ???? ? ???? ?? ????????  ewandt54@gmailcom  ????? ? 1  The War in Yemen – The Economist 011616 2  Turned Around – The New Yorker 022216 3  Sharing the Nile – The Economist 011616 4  Everyone wants a piece of Djibouti  It’s all about bases – The Economist 040916 5  Putin’s Dragon – The New Yorker Feb 08  15  2016	unk
IL5_SN_000370_20160126_G0T0009YP	???? ??? ?????? ?? ???? ??? ?????? ??? ?? ???? ???? ????? ????? ???? ?? ???? ???	indomain
IL5_SN_000370_20170118_H0T0036DN	???? ???? ???? ?? ?????? ??? ? ??? ????? ????? ??? ????? #??? ?? #?? ????? ????? ?????	unk
IL5_SN_000370_20160616_G0T0008Y4	????? ???? ????? ???? 200 ????? ????? ???? ????? ??? 300 ?????? ???  ????? ???? ????? ??? ????? ?? ?? ????? ?	indomain
IL5_WL_020083_20160221_G0040ISD1	???? ??? ???? ???? ??? ??? ??? ???? ?? ??? ????? ?	unk
IL5_SN_000370_20150923_G0T000EDG	#youtube Levandowsky 5 goals  HD	unk
IL5_SN_000370_20161229_H0T0067X7	?? ????? ??? 2016 ???? ???? ??? ?? ???? ????? ??? 2016 #Pictures #World #Yearender #Ethiopia #Eritrea #VOATigrigna	unk
IL5_SN_000370_20160728_G0T0008LW	?? ? ?? ???????? ?? ???? ????????  ?????? ???  ?????? ????? ???? ???  ?? ????? ??? ?? ??? ?????????? ??	nondomain
IL5_SN_000370_20150503_H0T0066B8	RT @ALEMAYEHUTEGENU 1870 ???? ??? ??? ???? ?? III ??????? ??? ????? ???? ???? ?????? ????? ?????	unk
IL5_SN_000370_20160828_H0T0058CS	????? “ ???? “ ?????? ?? ????? ?? ??   #Ethiopia	unk
IL5_NW_020062_20160530_G0040EYXA	????? ????? ?????? ????? ?????? ????? ???? ?????? ??? ??????? ??? ????? ????? ???? ??? ??? ??? ????? ???? ??? ???? ???? ?? ?? ???? ???? ????? ? ????? ????? ????? ???? ????? ?? ????? ???? ????? ???? ??? ??? ???? ????? ????? ??? ???? ???? ?????? ???? ?????? ????? ?????? ????? ???? ?????? ??? ??????? ??? ????? ????? ???? ??? ??? ??? ????? ???? ??? ???? ???? ?? ?? ???? ???? ????? ? ????? ????? ????? ???? ????? ?? ????? ???? ????? ???? ??? ??? ???? ????? ????? ??? ???? ???? ?????? ???? ????? ???? ???? ???? ???? ????? ????? ? ??? ??????’? ??? ??? ?? ?????? ????? ?? ??? ?? ???? ??? ??? ???? ?? ?? ???? ??? ?????? ??? ??? ??? ???? ????? ???? ????? ???? ??? ??? ? ?????? ??????? ??? ?? ??? ???? ??????? ??? ???? ???? ???? ????? ??? ???? ???? ??? ??? ????? ???? ??????? ???? ?????? ???? ??? ???? ???? ??? ???? ? ??? ???? ?????? ???? ???? ?? ???? ???? ????? ?????? ???? ????? ?? ??? ??? ??? ????? ?? ??? ??? ???? ???? ????? ???? ???? ???? ? ??? ???? ?????? ????? ?????? ????? ???? ????? ?????? ?????? ????? ????? ?????? ????? ????? ????? ?? ??? ???’? ??? ????? ?????? ??? ???? ???? ? ???? ???? ???? ????? ??????? ?????? ????? ???? ?? ?? ?????? ???? ???? ????? ?? ??? ??? ???? ???? ??? ??? ??? ???? ??? ???? ???? ??? ????? ? ???? ?? ???? ????? ?????? ??? ??? ???? ?? ??? ????? ????? ????? ??????? ???? ????? ??????? ????? ????? ??? ???????? ?????? ??? ??? ???? ??? ?? ???? ???? ? ???? ???? ???? ??? ?? ??? ??? ?? ??? ??? ???? ?????? ????? ???? ??? ????? ???? ???? ??? ???? ????? ?????? ???? ??? ????? ??????? ?????’? ? ????? ???? ???? ??? ???????? ??? ???? ??? ????? ????? ???? ???? ???? ????? ?? ?? ???? ???? ????? ????? ??? ???? ???? ???? ??? ? ?? ???? ????? ?? ????? ??? ????? ???? ??? ????? ????? ????? ??? ??? ??? ?????? ???’? ??? ???’? ???? ???’? ????? ???? ??? ???’? ?????? ? ?????? ???? ???? ???? ????? ????? ????? ???? ????? ???? ???? ???? ????? ???????? ??? ???? ????? ?????? ?????? ???? ????? ???? ???? ??? ???? ? ???? ????? ?? ???? ???? ???? 05242016 ??????  ????? ???????? – ?????	unk
IL5_SN_000370_20160326_G0T000AU9	??? ??? ???? ??? ??? ????? ???? ??? ??? ??? ????? ???? ??? ????? ??? ????? ??? ???? ????? ????? ???? ?????? ???	nondomain
IL5_SN_000370_20150505_H0T0066BB	?????? ????????? ??  Happy Ethiopian Patriots Day   #Ethiopia #May5	unk
IL5_SN_000370_20160929_H0T00363Q	RT @JawarMohammed ???? ??? ???? ????? ??? ??? ???? ??? ???	unk
IL5_SN_000370_20170503_H0T0068R4	RT @SewraEritrea Quando finalmente qualcuno vuole investigare il legame sporco tra alcune ONG e #trafficanti si cerca di farlo tacere #So	unk
IL5_SN_000370_20161003_H0T0067K9	?? ??? ??? ?????? ???? ?????? ???? ???? ??? ???? ????  ?? ??? ??? ?????? ???? ?????? ???? ???? ??? ???? ????	unk
IL5_SN_000370_20170208_H0T006850	?????? ??? ??? ??? ?? ???? ?????  #Eritrea #Ethiopia #VOATigrigna #Obama #Caribbean	unk
IL5_WL_020506_20170208_H0040MDR9	????? ????? ???? ????? ?? ??? ??? ????? ????? ???? ???? ??? ??? ?? ???? ? ???? 27 ?? 2009 ?? ?? ????? ??? ??? ????? ?????? ???? ? ???? 27 ?? ???? ???? ?????? ??? ??? ?? ??? ???? ??? ???? ???? ???? ?? ????? ???? ????? ? ???? ?? ?? ??? ? ?? ???????? ? ?? ??? ??? ? ?? ???? ???? ? ?? ????? ???? ?? ???? ???? ? ??? ?? ????? ???? ????? ???? ???? ????? ?????? ????? ? ???? ?? ??? ??? ??? ?? ???? ??? ?? ?? ?????? ??? ????? ?????? ??? ???? ?? ??? ?? ???? ????? ???? ? ?? ?? 2009 ?? ??? ???? ?? ?? ??? ?? ????? ??? ????? 4 ???? ?? ?? ??? ??? ?? ??? ??? ?? ????? ? ?? ???? ??????? ??????? ?????? ???? ???? ??? ?? ??? ????? ??? ?? ???????? ???? ?? ???????? ‘ ?? ???? ??? ???? ??? ?? ? ?? ??? ?? ???? ?? ???? ?????? ????? 121 ??? ????? ???? ????? ???? ???? ??? ?? ??? ????? ???? ?? ?? ???? ?????? ? ?? ??? ??? ?? ????? ?? ???? ???? ?? ???? ? ????? ?? ?? ??? ???? ????? ??? ???? ?? ?? ??? ??? ????? ?????? ????? ?? ??? ???? ????? ?????? ????? ?? ????? ? ??? ???? ?????? ?? ????? ???? ??? ?????? ?? ????? ???? ? ?????? ?? ????? ??? ??? ??? ??? ?? ????? ?? ??? ??? ?? ?? ????? ??? ??? ?? ??? ??? ???? ?? ?? ???? ???? ?	unk
IL5_SN_000370_20170119_H0T0036FY	????? ??? ???? ??? ??????? ????? ???? ????? Woman affiliated with Ginbot 7 charged for inciting riot in Gondar city	unk
